Lambda_Delay_ASync;Delay_Sync;Delay_Sync_Theory;Delay_ASync;Delay_Async_Theory;N(l);N()Theory
 0.000100; 1.500934; 1.500050; 1.000000; 1.000050; 0.000098; 0.000100
 0.100100; 1.537736; 1.555617; 1.034535; 1.055617; 0.099049; 0.105667
 0.200100; 1.651779; 1.625078; 1.086075; 1.125078; 0.205761; 0.225128
 0.300100; 1.725979; 1.714388; 1.183563; 1.214388; 0.301659; 0.364438
 0.400100; 1.910822; 1.833472; 1.330112; 1.333472; 0.416493; 0.533522
 0.500100; 2.004976; 2.000200; 1.434973; 1.500200; 0.503778; 0.750250
 0.600100; 2.282662; 2.250313; 1.705635; 1.750313; 0.612745; 1.050363
 0.700100; 2.674126; 2.667222; 2.061149; 2.167222; 0.712251; 1.517272
 0.800100; 3.578323; 3.501251; 3.022704; 3.001251; 0.772201; 2.401301
 0.900100; 8.639070; 6.005005; 7.955445; 5.505005; 0.906618; 4.955055
